replication,success,a_hat,m_hat,b_hat,loglik
243,True,1.1673745214932545,1.2436998970619746,1.3068060265555996,-381.5543113342309
244,True,0.5997881938960355,0.6048609522068927,2.319422279556573,-374.20684220940564
245,True,0.48112872130559103,0.487804605481965,2.405498015075132,-368.603476268358
246,True,0.8518795336876088,0.8698200065765145,1.9354806391663115,-379.38591765659453
247,True,0.32959090068017355,1.811543123886798,2.094205632284913,-397.5833942251473
248,True,0.006539873308026299,0.9467801522997452,2.2302937451791762,-360.8190859132257
249,True,0.5910130273710598,0.5964365577347666,2.4202351409442513,-377.0066898855533
250,True,0.5011001290191267,0.5504113435305766,2.988330664204371,-390.8450072503158
251,True,9.999999999999997e-06,0.6839186378143527,2.752684318363852,-369.4483036360519
252,True,9.999999999999997e-06,0.43395591079348117,3.141633911200972,-373.3324120359173
253,True,0.442012638799082,1.2397887827349414,1.2648817044714575,-352.44268203265244
254,True,0.7452111241203975,0.7642490287412714,2.1232215884678385,-378.4462849969177
255,True,0.482311120083152,0.49152002682858187,2.2723295315369976,-363.75498796757114
256,True,1.128883726056064,1.1748265193939547,1.1895023735833858,-373.7169358427734
257,True,0.7641765591622385,0.7838995988473878,1.760996099476897,-366.88341984069615
258,True,0.10485505336722517,1.6090315041372854,1.647421346720358,-368.5101017749275
259,True,1.2523653526130427,1.3376309669110835,1.4063032744316408,-390.5489012444967
260,True,0.00011634135175295584,1.9417432793458813,1.9539116358011839,-386.7436835215418
261,True,0.3270696286528454,0.3327692174140323,3.349162547298494,-388.42017406806576
262,True,2.1485168256903102e-05,2.0672403357629165,2.1174987796658784,-395.56434547665754
263,True,0.47360214675573287,1.713218059694508,1.7361979867653172,-388.1313902987183
264,True,0.6118231051999312,0.6168202121457323,2.2072246985094632,-371.06517421388423
265,True,0.08191225035085989,1.593513747145267,1.603371351922274,-365.3562464109761
266,True,1.0297662445552695e-05,1.1973284483884927,2.1901130993865103,-368.94094515842767
267,True,1.3504861915481703e-05,1.7464901075129446,1.7828044869384465,-374.53213932930555
268,True,2.168549110834584e-05,1.706607450539897,1.8102151166999012,-373.89822751893
269,True,0.05282616752487123,1.981213253565463,2.01279960316915,-391.6463618421328
270,True,9.999999999999997e-06,1.932470365374722,1.9690055663649917,-386.9432219005114
271,True,1.2699273790686683,1.4578332864424066,1.4825726136728485,-397.10867657187924
272,True,0.6768048332006602,1.2863766477223928,1.3514932524508965,-367.1892741264528
273,True,1.0868652328022195,1.1749244643812307,1.2397974276268253,-374.073162532537
274,True,0.5617199248677569,0.5692708966195046,1.9766840881560381,-358.73214627102004
275,True,0.19067882826591284,0.882307016078954,2.0374780343728456,-358.5492183481169
276,True,0.5040972868753302,0.5334575247976473,2.855545443728986,-386.2526252181859
277,True,0.9276809756755917,0.9602837224666301,0.9908600374709141,-349.57804685832167
278,True,0.06603774058277864,1.7051745906744842,1.713186560387173,-372.9290487695958
279,True,0.31972110125184755,1.4713721739415146,1.4974332504642907,-366.0949145487294
280,True,0.4536645470161379,0.4597616376518988,2.6584062678300073,-375.1367033194069
281,True,0.24387772409528932,1.5928337484608563,1.687894168860916,-374.57321650725885
282,True,1.976036835310278e-05,1.9568632331892895,2.032205244862017,-389.6673579035055
283,True,0.650780009667462,0.6521644374599918,2.823629606050471,-393.5271085002057
284,True,0.5123874087293301,0.522231195687376,2.1523976034559738,-361.687436125799
285,True,0.5588541245767941,0.5721061158675901,2.2866171261639088,-370.29647356544194
286,True,0.06303377770232267,1.7808463177888363,1.8917987150490194,-381.5509674207261
287,True,2.3897911877422535e-05,1.7049221219286437,1.7421609404296068,-371.5397211461377
288,True,0.15244813167847984,0.6971595523901534,3.0279897295336484,-385.041304102093
289,True,0.34463306276580297,1.6395817180654835,1.6800090036320898,-379.4931175129532
290,True,3.640602600030734e-05,1.7664991980906506,1.7923729068598913,-375.51919993358354
291,True,0.008003743857394042,1.8127006211182262,1.848575480783358,-379.33036908249494
292,True,0.6619322847471583,0.673372181506897,2.308583856845124,-378.6022508300914
293,True,0.4956722542050415,0.503804809330314,2.8884804143569087,-385.81370024442936
294,True,1.0824985918211392,1.1668175796366431,1.197833385718356,-372.1544511641919
295,True,9.999999999999997e-06,0.2997657073539614,3.457652376754341,-378.34785874841845
296,True,1.0000000071072267e-05,0.7054867007096282,2.117705962627007,-345.4535886355725
297,True,1.2188596735994035,1.2857193231425055,1.3094447571588792,-384.67067248735697
298,True,0.8958767894292623,1.36669808379207,1.3829617554794524,-379.098175823233
